region,GDP per capita (constant 2015 US$)
Australia,32932.16026
Australia,33746.64654
Australia,34087.82323
Australia,35465.3368
Australia,36221.36573
Australia,36965.64011
Australia,36357.64661
Australia,36106.95845
Australia,37235.65704
Australia,38346.87994
Australia,39396.24203
Australia,40422.03755
Australia,41551.63881
Australia,43037.45003
Australia,44679.06423
Australia,45893.81175
Australia,46233.24851
Australia,47535.78957
Australia,48454.2822
Australia,49960.38024
Australia,50912.4669
Australia,51606.66553
Australia,52587.786
Australia,53383.7075
Australia,53272.98473
Australia,53607.98476
Australia,54132.52175
Australia,55271.36614
Australia,55729.19299
Australia,56320.11029
Australia,56710.44572
Australia,57356.05124
Australia,57703.03436
Australia,58481.03442
Australia,58870.02169
Australia,58117.45203
Australia,59341.23774
Austria,12051.15117
Austria,12648.9747
Austria,12904.66988
Austria,13352.65113
Austria,14076.27616
Austria,14471.82132
Austria,15181.58876
Austria,15521.80965
Austria,16132.00952
Austria,17085.32997
Austria,18101.99195
Austria,18943.18115
Austria,20002.55611
Austria,20864.84746
Austria,21650.4868
Austria,21629.0463
Austria,22659.31778
Austria,23801.26754
Austria,23770.36624
Austria,25086.40019
Austria,25520.74056
Austria,25419.00965
Austria,25911.66094
Austria,26725.19072
Austria,26740.57724
Austria,27395.87265
Austria,28008.55459
Austria,28370.71788
Austria,29264.32358
Austria,30265.19323
Austria,31340.68129
Austria,32097.24109
Austria,32410.53977
Austria,32313.71187
Austria,32962.81742
Austria,33790.48499
Austria,34537.73957
Austria,35220.88774
Austria,36442.28823
Austria,37664.94328
Austria,38842.89052
Austria,39184.8086
Austria,39636.48261
Austria,39815.22195
Austria,40651.22662
Austria,41281.27076
Austria,42496.35105
Austria,43937.71289
Austria,44440.05589
Austria,42655.19213
Austria,43334.50896
Austria,44451.00019
Austria,44549.8817
Austria,44299.37818
Austria,44245.16874
Austria,44195.81759
Austria,44590.25163
Austria,45281.7234
Austria,46154.6251
Austria,46647.08096
Austria,43455.70007
Austria,45238.39071
Azerbaijan,2820.740991
Azerbaijan,2763.976876
Azerbaijan,2107.222743
Azerbaijan,1596.076584
Azerbaijan,1264.482759
Azerbaijan,1102.459153
Azerbaijan,1105.548397
Azerbaijan,1158.440954
Azerbaijan,1262.247536
Azerbaijan,1343.808721
Azerbaijan,1480.756662
Azerbaijan,1614.792119
Azerbaijan,1754.073609
Azerbaijan,1918.543625
Azerbaijan,2077.812263
Azerbaijan,2631.758981
Azerbaijan,3501.041809
Azerbaijan,4326.961569
Azerbaijan,4692.912185
Azerbaijan,5023.79077
Azerbaijan,5215.020915
Azerbaijan,5152.657454
Azerbaijan,5194.73839
Azerbaijan,5425.905292
Azerbaijan,5505.988233
Azerbaijan,5500.310382
Azerbaijan,5270.552975
Azerbaijan,5229.526141
Azerbaijan,5262.183808
Azerbaijan,5348.265267
Azerbaijan,5083.38164
Azerbaijan,5344.421348
Bahamas,19234.53663
Bahamas,20274.18762
Bahamas,21313.691
Bahamas,22431.8339
Bahamas,23689.82907
Bahamas,25064.48061
Bahamas,26168.70678
Bahamas,27434.18357
Bahamas,28439.64887
Bahamas,29686.20582
Bahamas,27010.82171
Bahamas,26660.44314
Bahamas,25082.59639
Bahamas,26369.93232
Bahamas,21485.21548
Bahamas,17931.71181
Bahamas,18475.75565
Bahamas,19742.0789
Bahamas,22071.53614
Bahamas,27281.33725
Bahamas,28491.62255
Bahamas,25385.90297
Bahamas,26594.04389
Bahamas,27037.21356
Bahamas,30282.46773
Bahamas,31129.28841
Bahamas,31073.49148
Bahamas,31398.21989
Bahamas,31527.21484
Bahamas,33009.26635
Bahamas,31860.01944
Bahamas,29932.86864
Bahamas,28183.87597
Bahamas,27663.25325
Bahamas,27968.21467
Bahamas,28651.31902
Bahamas,29334.66259
Bahamas,30822.18806
Bahamas,28946.27851
Bahamas,31982.76084
Bahamas,32823.80576
Bahamas,33214.16875
Bahamas,33665.57034
Bahamas,32799.13686
Bahamas,32645.12485
Bahamas,33295.93274
Bahamas,33663.54892
Bahamas,33672.97124
Bahamas,32425.58808
Bahamas,30627.33786
Bahamas,30664.02592
Bahamas,30470.24837
Bahamas,31072.84567
Bahamas,29902.24342
Bahamas,30182.19433
Bahamas,30206.24043
Bahamas,29699.1856
Bahamas,30371.58098
Bahamas,30705.60197
Bahamas,31082.8061
Bahamas,23566.57533
Bahamas,26705.56601
Bahrain,21290.94332
Bahrain,19366.61397
Bahrain,17281.13169
Bahrain,17758.34752
Bahrain,18004.39394
Bahrain,16549.30854
Bahrain,16156.62215
Bahrain,17210.96495
Bahrain,17776.69734
Bahrain,17234.79321
Bahrain,17405.8852
Bahrain,18709.79574
Bahrain,19275.4815
Bahrain,21024.96862
Bahrain,20283.08741
Bahrain,20403.37053
Bahrain,20576.51539
Bahrain,20566.55701
Bahrain,20915.83341
Bahrain,21195.90078
Bahrain,21713.53805
Bahrain,21681.0283
Bahrain,21866.04923
Bahrain,22348.90481
Bahrain,22325.70308
Bahrain,22027.33131
Bahrain,21783.85153
Bahrain,22013.75842
Bahrain,21918.00506
Bahrain,21157.79342
Bahrain,21452.92152
Bahrain,21906.74643
Bahrain,22484.85482
Bahrain,23012.70834
Bahrain,23107.95659
Bahrain,22795.44886
Bahrain,22810.77492
Bahrain,23019.25574
Bahrain,23023.11978
Bahrain,23414.21907
Bahrain,22510.40408
Bahrain,23234.71207
Bangladesh,441.4481884
Bangladesh,454.7790481
Bangladesh,465.4148261
Bangladesh,449.5655249
Bangladesh,484.042374
Bangladesh,477.309243
Bangladesh,475.2222
Bangladesh,452.4979419
Bangladesh,480.7966311
Bangladesh,472.8404491
Bangladesh,487.0285689
Bangladesh,454.7247108
Bangladesh,385.7081459
Bangladesh,388.4629838
Bangladesh,415.2019203
Bangladesh,388.8847959
Bangladesh,401.8645193
Bangladesh,403.3250062
Bangladesh,421.7631762
Bangladesh,431.7581706
Bangladesh,424.8099464
Bangladesh,443.7754794
Bangladesh,440.9607776
Bangladesh,445.5460854
Bangladesh,454.5225083
Bangladesh,457.8432061
Bangladesh,465.7265852
Bangladesh,472.6260095
Bangladesh,473.682403
Bangladesh,476.8796679
Bangladesh,493.0953392
Bangladesh,500.4940904
Bangladesh,518.1101237
Bangladesh,532.2530076
Bangladesh,542.4547398
Bangladesh,559.6895332
Bangladesh,574.8361301
Bangladesh,590.0031076
Bangladesh,609.0138919
Bangladesh,625.364192
Bangladesh,646.0381127
Bangladesh,666.0681154
Bangladesh,678.8678759
Bangladesh,698.7324633
Bangladesh,723.2282294
Bangladesh,758.8903834
Bangladesh,799.781907
Bangladesh,847.2824062
Bangladesh,890.2966484
Bangladesh,927.0185879
Bangladesh,967.5616037
Bangladesh,1017.628281
Bangladesh,1070.595743
Bangladesh,1120.68594
Bangladesh,1173.893634
Bangladesh,1236.00506
Bangladesh,1307.733035
Bangladesh,1376.604208
Bangladesh,1460.305017
Bangladesh,1557.965291
Bangladesh,1593.348321
Bangladesh,1684.43439
Barbados,11609.35344
Barbados,11331.66822
Barbados,11765.32872
Barbados,12130.15724
Barbados,12653.51914
Barbados,13580.57473
Barbados,14105.09202
Barbados,13776.8777
Barbados,13052.58379
Barbados,13073.8753
Barbados,13503.83609
Barbados,13618.6866
Barbados,14288.37827
Barbados,14642.49042
Barbados,15149.4401
Barbados,15695.0019
Barbados,15169.48506
Barbados,14547.87951
Barbados,13677.03101
Barbados,13744.14187
Barbados,13982.09535
Barbados,14231.55666
Barbados,14769.88011
Barbados,15444.65716
Barbados,15995.10554
Barbados,16016.55742
Barbados,16698.06105
Barbados,16258.84218
Barbados,16320.56803
Barbados,16610.53694
Barbados,16781.89833
Barbados,17382.7728
Barbados,18380.66991
Barbados,18692.12112
Barbados,18729.59024
Barbados,17714.67524
Barbados,17237.77116
Barbados,17071.05344
Barbados,16953.43554
Barbados,16667.73838
Barbados,16615.50544
Barbados,16990.21947
Barbados,17385.20075
Barbados,17430.87321
Barbados,17220.931
Barbados,17168.14569
Barbados,14855.68986
Barbados,14800.83815
Belarus,2890.524166
Belarus,2854.520751
Belarus,2574.823852
Belarus,2373.890521
Belarus,2098.624263
Belarus,1886.477425
Belarus,1945.838948
Belarus,2176.69235
Belarus,2370.186467
Belarus,2461.826851
Belarus,2616.912993
Belarus,2754.66447
Belarus,2912.123361
Belarus,3139.120986
Belarus,3522.489851
Belarus,3880.01437
Belarus,4294.228672
Belarus,4684.980291
Belarus,5180.712344
Belarus,5203.854887
Belarus,5621.937175
Belarus,5938.22068
Belarus,6047.871129
Belarus,6110.904667
Belarus,6212.912772
Belarus,5967.052204
Belarus,5811.197944
Belarus,5964.892944
Belarus,6165.90933
Belarus,6264.860965
Belarus,6247.431909
Belarus,6418.237634
Belgium,11734.30617
Belgium,12277.63472
Belgium,12866.22877
Belgium,13326.11327
Belgium,14118.90232
Belgium,14489.4451
Belgium,14846.09735
Belgium,15334.76789
Belgium,15915.19565
Belgium,16922.35438
Belgium,17849.49471
Belgium,18527.14874
Belgium,19432.03103
Belgium,20607.18091
Belgium,21480.26132
Belgium,20997.20683
Belgium,22144.52361
Belgium,22255.68441
Belgium,22866.82323
Belgium,23381.12724
Belgium,24393.29818
Belgium,24325.81328
Belgium,24477.19988
Belgium,24555.48097
Belgium,25161.49098
Belgium,25569.48933
Belgium,26026.2805
Belgium,26603.9281
Belgium,27772.05205
Belgium,28631.31909
Belgium,29441.66215
Belgium,29870.14777
Belgium,30204.56375
Belgium,29797.40632
Belgium,30664.30785
Belgium,31329.89207
Belgium,31681.93636
Belgium,32804.36054
Belgium,33376.57484
Belgium,34479.90645
Belgium,35674.79125
Belgium,35943.23796
Belgium,36393.24177
Belgium,36617.38038
Belgium,37761.28132
Belgium,38426.05191
Belgium,39147.76356
Belgium,40290.22776
Belgium,40151.84987
Belgium,39025.22079
Belgium,39777.92528
Belgium,39929.09514
Belgium,39975.57364
Belgium,39970.3175
Belgium,40421.42079
Belgium,41008.29672
Belgium,41318.01964
Belgium,41825.76283
Belgium,42382.31828
Belgium,43098.48472
Belgium,40612.39246
Belgium,42901.43206
Belize,1558.388648
Belize,1593.587952
Belize,1629.310709
Belize,1663.812881
Belize,1697.048942
Belize,1728.645186
Belize,1757.082019
Belize,1787.996972
Belize,1862.645157
Belize,1902.743698
Belize,1948.698005
Belize,1989.877942
Belize,2158.782423
